品項,總量,批號,製造日/到期日
M45BSTT-KR-K,1,1150410K,2028-01-16
M45BSTT-KR-K,5,1150803K6,2028-05-04
M67BSTT-KR-K,8,1150114K,2027-10-31
M67CFT-KR-K,0,,
M45BBLD-KR-K,2,1150709K5,2028-06-21
M45BBLD-KR-K-(1.5公分),2,1150611S,2028.04.29
M45BBLD-KR-K-(十字切),2,1150811S,2028.06.21
M89BBLD-KR-K-(十字切),5.75,1150826S,2028.07.29
M89OSF-KR-K-(十字切),0,,
M67-RFM-KR-K,8,1141105K,2027-08-14
M67-RFM-KR-K,37,1150115K,2027-10-16
M67-RFM-KR-K,24,1150202K,2027-11-13
M-CKM-AT-12入,205,AT26#1,2027-05-15~06-05
M-CKM-AM-12入,1152,AM26#1,2027-05-29~06-26
M-CKM-MU-8入,511,MU26#2,2027-05-07~07-23
VLRERB-MU-7-9入,232,MU26#2,2028-06-25~06-29
VLTDL-MU-13-18入,133,MU26#2,2028-07-08~07-10
VLOS-MU-12入,72,MU26#2,2028-07-08
VLSB-MU-30入,59,MU26#2,2028-06-30~07-01
M-TL-KR-K,88,1140526K,2027-04-10
M-TL-KR-K,70,1140806K,2027-07-09
M-TL-KR-K,72,1140910K,2027-08-13
M-TL-KR-K,80,1141016K,2027-09-04
M-TL-KR-K,37,1141212K,2027-11-12
M-TL-KR-K,40,1141224K,2027-12-02
M-TL-KR-K,48,1150205K,2028-01-15
GF IE-MU-4盒,2,MU26#1,2027-12-16
和IST-KR-K,0,,
HTR-KR-K,48,1140808K,2027-06-12
HTR-KR-K,24,1140903K,2027-07-09
HTR-KR-K,22,1141029K,2027-09-04
HTR-KR-K,26,1141210K,2027-10-15
HTR-KR-K,1,1150109K,2027-11-12
HTR-KR-K,17,1150127K,2027-12-02
HTR-KR-K,16,1150309K,2028-01-15
OST-KR-K,8,1140120K,2026-11-12
OST-KR-K,10,1150105K,2027-11-12
OST-KR-K,93,1150109K,2027-11-12
OST-KR-K,13,1150309K,2028-01-15
OST-KR-K,19,1150518K,2028.03.27
OST-KR-K,9,1150817K6,2027-12-24
M45FM-KR-K,1,1150629K6,2028-03-22
M67FM-KR-K,3,1131211K,2026-08-21
M-TUE-KR-K,10,1140331K,2027-01-21
M-TUE-KR-K,128,1150108K,2027-11-12
M-TUE-KR-K,18,1150127K,2027-12-02
M-TUE-KR-K,15,1150623K5,2027-10-28
M-TUE-KR-K,16,1150819K5,2027-12-24
M-MP-KR,3226,KR26#4,2028-01-27~03-11
ACSRL-TY-K,1,1140604K,2027-03-28
ACSRL-TY-K,11,1140620K,2027-03-28
ACSRL-TY-K,20,1140630K,2027-04-11
ACSRL-TY-K,1,1141029K,2027-08-08
ACSRL-TY-K,2,1141119K,2027-08-29
ACSRL-TY-K,8,1141210K,2027-09-19
ACSRL-TY-K,3,1141215K,2027-09-19
ACSRL-TY-K,6,1150105K,2027-10-10
ACSRL-TY-K,4,1150120K,2027-10-31
ACSRL-TY-K,1,1150317K,2028-01-23
ACSRL-TY-K,4,1150323K,2027-12-31
ACSRL-TY-K,1,1150414K,2028-01-23
ACSRL-TY-K,6,1150605K,2028-03-26
ACSRL-TY-K,15,1150701K5,2028-04-16
ACSRL-TY-K,6,1150722K5,2028-05-07
ACTDL-TY-K,63,1140408K,2026-12-10
ACTDL-TY-K,11,1150105K,2027-10-10
ACTDL-TY-K,22,1150120K,2027-12-31
ACTDL-TY-K,10,1150206K,2027-11-21
ACTDL-TY-K,4,1150416K,2028-01-23
ACRER-TY-K,19,1150105K,2027-10-10
ACRER-TY-K,72,1150119K,2027-10-31
ACRER-TY-K,27,1150206K,2027-11-21
ACRER-TY-K,19,1150605K,2028-03-26
ACRER-TY-K,8,1150629K6,2028-04-16
ACRER-TY-(280~320),1,1150206S,2027.02.28
ACRER-TY-(280~320),12,1150310S,2027-04-11
ACRER-TY-(400~450),7,1150310S,2027.01.06
ACRER-TY-(400~450),1,1150310S,2027.02.28
ACRER-TY-(400~450),2,1150310S,2027.08.08
ACRER-TY-(400~450),1,1150310S,2027.09.19
ACRER-TY-(溫度小館規),1,1150206S,2027.02.28
ACSRM-TY-K,0,,
ACSRMB-TY-K,2,1140502K,2027-04-07
ACSRMB-TY-K,3,1150528K,2027-04-30
ACSRMB-TY-(2.5公分),2,1150409S,2027.01.31
ACSRMB-TY-(對切),3,1150409S,2027.03.27
ACRPC-TY-K,0,,
GFRER-TY-K,1,1150812K5,2028-07-19
GFRER-TY-K,26,1150803K6,2028-05-19
GFSRL-TY-K,3,1150803K6,2028-05-18
GFTDL-TY-K,2,1150803K6,2028-05-19
GFHTR-TY-K,10,1141029K,2027-08-27
GFHTR-TY-K,1,1141210K,2027-10-09
GFHTR-TY-K,4,1150129K,2027-11-20
GFHTR-TY-K,55,1150528K,2027-09-22
GFHTR-TY-K,20,1150615K6,2027-10-15
GFHTR-TY-K,19,1150706K6,2027-11-06
GFCKM-TY-K,42,1150721K5,2028-06-22
GFTUE-TY-K,143,1140922K,2027-07-28
GFOB-TY-K,0,1150803K6,2028-05-20
GFOB-TY-K,0,1150728K5,2028-06-22
GFOB-TY-K,16,1150812K5,2028-07-19
美牛邊角料,,,
帶骨邊角,,,
龍蝦尾YE-RR,28,YE25#1,2027-07-08
A5TDL-K,1,1140822K,2027-05-22
A5TDL-K,2,1150212K,2027-11-13
A5SRL-K,1,1150512K,2028-02-09
A5SRL-K,1,1150702K5,2028-03-31
A5CER-K-(3小顆),1,1150528K,2028-03-31
A5CER-K-(對切),3,1150727S,2027.12.09
A5RER-K,0.5,1150414K,2028-01-14
,,,\
